Robot_ID,Operating_Hours,Downtime_Hours,Failure_Count,Maintenance_Cost_USD,Energy_Consumption_kWh,Maintenance_Type,Location,Performance_Score
R-001,1250,8.5,1,450,3.2,Preventive,Data Center A,94
R-002,2800,15.2,3,980,4.5,Corrective,Data Center B,87
R-003,950,4.1,0,300,2.8,Routine,Data Center C,97
R-004,4100,28.6,5,1750,5.8,Corrective,Data Center A,78
R-005,2200,11.3,2,720,4.1,Preventive,Data Center D,91
R-006,3600,22.4,4,1350,5.2,Corrective,Data Center B,82
R-007,1500,6.7,1,500,3.5,Routine,Data Center C,93
R-008,4750,31.5,6,2100,6.1,Corrective,Data Center D,71
R-009,1850,9.2,1,580,3.8,Preventive,Data Center A,92
R-010,3200,18.7,3,1100,4.9,Preventive,Data Center C,86
